image_id,MOS,Brightness,Colorfulness,Contrast,Noisiness,Sharpness
10001.jpg,6.1,4.21,6.16,6.07,7.24,6.68
10002.jpg,6.12,5.26,6.08,5.61,7.08,5.94
10003.jpg,4.06,3.92,4.94,4.66,2.63,3.28
10004.jpg,3.47,6.22,5.75,5.74,3.97,2.08
10005.jpg,2.18,4.79,4.68,4.08,5.04,0.91
10006.jpg,5.18,4.15,5.17,4.51,5.04,4.5
10007.jpg,8.45,7.82,8.55,8.42,8.57,8.16
10008.jpg,6.17,4.08,6.3,4.66,5.87,6.03
10009.jpg,5.98,6.2,6.43,6.1,6.16,5.68
10010.jpg,3.32,5.36,5.11,4.5,3.9,1.86
10011.jpg,7.43,7.55,7.75,7.88,7.21,6.38
10012.jpg,6.86,5.45,6.2,5.88,6.62,7.53
10013.jpg,8.13,7.74,7.98,8.04,8.43,7.92
10014.jpg,8.33,7.87,8.28,8.32,8.18,8.52
10015.jpg,6.24,4.82,6.07,6.18,6.28,6.81
10016.jpg,6.91,5.98,7.41,7.19,7.23,7.34
10017.jpg,4.96,4.13,4.75,4.34,5.66,4.84
10018.jpg,7.71,7.37,7.74,7.89,7.88,8.35
10019.jpg,2.91,5.92,5.57,5.38,3.4,1.02
10020.jpg,8.76,8.63,8.83,8.82,8.68,8.67
10021.jpg,4.08,5.75,5.98,5.87,6.15,1.63
10022.jpg,6.92,5.95,7.18,7.38,6.93,7.17
10023.jpg,4.52,4.76,5.28,5.28,4.52,3.66
10024.jpg,2.54,6.45,6.03,4.57,5.23,0.65
10025.jpg,2.7,6.28,6.52,5.52,5.31,0.87
10026.jpg,2.76,6.22,5.72,4.83,5.05,0.9
10027.jpg,2.08,1.88,2.51,2.35,2.9,0.97
10028.jpg,7.79,7.48,7.75,7.72,8.02,8.04
10029.jpg,7.93,7.9,8.1,8.2,8.32,7.82
10030.jpg,3.25,6.22,5.59,5.12,5.06,1.27
10031.jpg,5.03,3.01,3.55,4.24,6.97,6.11
10032.jpg,0.48,0.74,0.92,0.78,1.18,0.6
10033.jpg,2.2,4.51,4.36,3.89,3.63,0.92
10034.jpg,8.98,8.68,8.72,8.68,8.87,8.7
10035.jpg,8.83,8.84,8.98,8.79,9.01,8.82
10036.jpg,8.56,7.29,8.75,8.3,8.72,8.93
10037.jpg,3.99,5.21,5.62,5.27,4.62,1.99
10038.jpg,3.09,5.5,5.51,4.99,5.22,1.26
10039.jpg,3.13,4.92,5.39,4.88,4.91,1.22
10040.jpg,3.08,4.94,4.95,4.48,4.52,1.13
10041.jpg,7.37,7.67,8.15,7.63,7.51,8.07
10042.jpg,7.69,7.27,7.58,7.98,7.71,7.55
10043.jpg,2.45,2.33,2.08,2.06,3.41,1.72
10044.jpg,3.34,7.06,6.77,6.02,5.5,1.16
10045.jpg,4.4,3.39,4.62,4.3,5.4,3.91
10046.jpg,2.69,4.2,3.52,3.44,3.18,1.35
10047.jpg,5.52,3.56,5.54,4.89,7.08,6.74
10048.jpg,3.38,4.64,4.42,4.65,5.45,1.71
10049.jpg,2.05,2.29,3.1,3.02,2.36,1.32
10050.jpg,2.6,5.12,4.93,4.46,5.01,1.07
10051.jpg,7.68,6.92,7.84,7.69,8.32,8.44
10052.jpg,8.72,8.1,8.64,8.65,8.78,8.92
10053.jpg,6.94,5.92,6.63,6.99,7.28,7.95
10054.jpg,5.85,7.06,6.85,7.46,5.38,5.39
10055.jpg,4.15,4.68,5.13,5.22,4.84,2.33
10056.jpg,7.32,7.52,7.98,7.45,7.3,7.03
10057.jpg,7.53,7.91,8.03,7.82,8.07,7.48
10058.jpg,2.62,4.8,4.41,3.65,4.12,0.88
10059.jpg,2.75,5.52,4.81,4.27,4.49,1.49
10060.jpg,3.68,6.2,6.0,5.22,4.68,1.73
10061.jpg,3.12,5.67,5.93,4.89,4.5,1.26
10062.jpg,2.61,5.21,5.77,5.08,4.61,1.06
10063.jpg,3.22,6.17,6.36,5.63,4.63,1.61
10064.jpg,8.55,8.22,8.58,8.5,8.92,8.62
10065.jpg,7.85,7.08,8.08,7.91,8.74,8.74
10066.jpg,6.29,4.73,6.7,6.2,7.48,7.45
10067.jpg,6.9,6.64,7.6,7.11,8.19,7.57
10068.jpg,7.62,7.3,7.5,7.28,7.68,7.68
10069.jpg,3.41,7.21,6.05,5.69,5.37,1.37
10070.jpg,8.54,8.87,8.62,8.86,8.84,8.59
10071.jpg,2.56,7.38,6.88,5.9,5.85,1.13
10072.jpg,5.7,4.12,5.72,4.89,6.44,6.15
10073.jpg,3.21,6.05,6.42,5.72,5.89,1.57
10074.jpg,2.4,5.67,6.16,5.32,5.56,1.2
10075.jpg,1.41,4.97,4.81,3.21,3.52,0.35
10076.jpg,5.09,5.97,6.69,6.44,6.22,5.13
10077.jpg,5.1,5.54,5.14,5.27,5.38,5.11
10078.jpg,2.23,6.11,6.61,5.86,6.27,1.37
10079.jpg,5.34,5.14,4.26,5.59,6.63,5.49
10080.jpg,7.27,6.74,7.29,7.27,7.72,7.39
10081.jpg,8.28,7.28,7.31,7.1,7.49,7.69
10082.jpg,4.3,5.86,5.71,5.44,3.39,2.97
