image_id,MOS,Brightness,Colorfulness,Contrast,Noisiness,Sharpness
00001.jpg,4.89,4.74,5.56,5.57,3.79,4.26
00002.jpg,6.25,5.54,6.71,5.31,5.75,4.75
00003.jpg,7.72,6.24,7.26,6.58,7.22,8.27
00004.jpg,6.7,6.84,6.94,6.7,6.79,6.33
00005.jpg,2.27,5.43,6.21,5.1,3.84,1.56
00006.jpg,3.32,2.38,4.8,4.64,6.37,4.73
00007.jpg,7.3,7.31,7.19,7.59,7.8,7.64
00008.jpg,2.01,3.39,5.07,3.71,3.89,1.33
00009.jpg,1.25,4.08,5.16,3.17,3.95,0.89
00010.jpg,5.62,4.97,6.34,5.74,5.76,6.55
00011.jpg,6.31,6.01,6.41,6.55,7.46,7.06
00012.jpg,2.01,1.47,4.39,2.98,4.18,4.51
00013.jpg,2.5,3.1,5.14,3.91,2.86,2.61
00014.jpg,0.58,0.7,1.34,1.0,2.31,0.96
00015.jpg,2.91,6.03,5.2,5.24,3.94,1.71
00016.jpg,7.61,7.66,7.47,7.69,7.66,7.73
00017.jpg,5.63,6.3,6.76,6.6,6.41,6.13
00018.jpg,3.16,5.71,5.81,6.03,4.14,2.91
00019.jpg,7.06,6.7,6.31,7.19,7.01,7.23
00020.jpg,5.99,5.49,7.34,6.72,6.41,5.81
00021.jpg,7.41,7.67,8.23,7.75,7.59,7.93
00022.jpg,5.88,5.19,6.62,6.48,6.01,6.09
00023.jpg,4.41,3.22,6.18,4.38,5.61,5.36
00024.jpg,3.68,5.54,6.26,5.36,5.11,2.87
00025.jpg,5.6,5.15,6.1,5.8,4.32,4.28
00026.jpg,7.14,7.06,6.96,7.24,7.5,7.64
00027.jpg,4.89,5.28,5.99,6.16,4.68,5.2
00028.jpg,0.89,4.23,4.73,4.17,2.91,0.54
00029.jpg,1.69,4.84,4.44,4.9,2.63,1.41
00030.jpg,4.1,4.86,6.31,5.04,2.86,1.93
00031.jpg,7.88,7.85,7.52,7.68,7.35,7.53
00032.jpg,7.09,6.29,7.46,7.14,6.54,6.36
00033.jpg,6.48,5.95,7.3,6.93,6.37,7.17
00034.jpg,9.12,7.92,9.0,8.17,7.9,8.25
00035.jpg,3.82,6.22,6.82,6.62,5.15,2.72
00036.jpg,2.7,2.75,3.23,4.2,3.47,2.65
00037.jpg,6.47,6.43,6.43,6.7,6.17,6.26
00038.jpg,0.8,2.4,1.87,1.05,1.82,0.72
00039.jpg,6.3,5.96,6.63,6.57,6.24,6.53
00040.jpg,2.52,3.5,3.47,3.25,3.2,1.72
00041.jpg,2.25,2.62,2.77,3.47,3.33,2.5
00042.jpg,5.03,4.41,4.73,4.79,4.93,4.99
00043.jpg,5.18,4.17,5.15,5.17,5.77,5.95
00044.jpg,3.42,4.42,4.73,5.02,4.33,3.7
00045.jpg,0.87,2.21,1.34,2.19,1.58,2.19
00046.jpg,1.67,2.85,2.85,2.18,3.07,1.12
00047.jpg,2.26,5.13,3.86,4.14,3.59,0.7
